id,name,platform,platform_class,blade_count,micro_doppler_spread,recommended_band,bird_discriminant,detection_notes,source_url
dji-mavic-3,DJI Mavic 3 / Enterprise,dji-mavic-3,small_multirotor,8 (4 rotors x 2),+/-2-6 kHz symmetric HERM lines @ X-band,X/Ku,Symmetric blade-flash sidebands from rigid rotors absent in birds (wing-flap <=10 Hz),Symmetric micro-Doppler spread around the bulk Doppler is the drone-specific cue,https://www.robinradar.com/iris
dji-fpv,DJI FPV / Avata,dji-fpv,small_multirotor,8 (4 rotors x 2),+/-3-8 kHz (higher RPM),Ku/W,Wideband symmetric sidebands vs low asymmetric bird flap,Higher rotor RPM widens the micro-Doppler spread,https://www.robinradar.com/iris
dji-phantom-4,DJI Phantom 4 (legacy),dji-phantom-4,small_multirotor,8 (4 rotors x 2),+/-2-6 kHz symmetric,X/Ku,Rotor blade flash vs bird wing-beat modulation,Classic small-quad micro-Doppler benchmark target,https://www.robinradar.com/iris
autel-evo-max,Autel EVO Max 4T,autel-evo-max,small_multirotor,8 (4 rotors x 2),+/-2-6 kHz symmetric,X/Ku,Symmetric rotor sidebands absent in birds,Comparable-mass quad; spread scales with rotor tip speed,https://www.robinradar.com/iris
fpv-5in-analog,FPV 5-inch (analog),fpv-5in-analog,micro_multirotor,8 (4 rotors x 2),+/-4-9 kHz symmetric,Ku/W,Strong symmetric blade flash despite tiny body RCS,Small radar cross-section needs high-band radar and good clutter rejection,https://www.echodyne.com/
fpv-5in-digital,FPV 5-inch (digital HD),fpv-5in-digital,micro_multirotor,8 (4 rotors x 2),+/-4-9 kHz symmetric,Ku/W,Rotor micro-Doppler vs bird flap,Micro-Doppler is airframe-driven and independent of the video link,https://www.echodyne.com/
parrot-anafi,Parrot ANAFI / Ai,parrot-anafi,micro_multirotor,8 (4 rotors x 2),+/-3-7 kHz symmetric,Ku/W,Symmetric rotor sidebands vs asymmetric bird beat,Lightweight quad; low RCS shortens usable range,https://www.echodyne.com/
fixed-wing-group2,Fixed-wing Group 2 UAS (generic),fixed-wing-group2,fixed_wing,1-2 (tractor prop),narrow prop sidebands + strong steady bulk Doppler,X,Steady bulk Doppler and few HERM lines differ from flapping birds,Fixed-wing body Doppler dominates; fewer rotor tonal lines,https://en.wikipedia.org/wiki/Doppler_radar
shahed-136,Shahed-136 / Geran-2,shahed-136,fixed_wing_delta,2 (pusher prop),pusher-prop sidebands + steady ~185 km/h bulk Doppler,X/Ku,Steady high-speed bulk Doppler unlike any bird,Radar-detectable despite zero RF; low-RCS delta demands sensitive radar,https://en.wikipedia.org/wiki/HESA_Shahed_136
wifi-toy-quad,WiFi micro / toy quadcopter,wifi-toy-quad,micro_multirotor,8 (4 rotors x 2),+/-4-9 kHz symmetric,W,Rotor flash present but weak returns,Very small RCS keeps detection range short even at W-band,https://www.echodyne.com/
dji-mini-4-pro,DJI Mini 4 Pro,dji-mini-4-pro,small_multirotor,8 (4x2),+/-2-6 kHz symmetric HERM lines @ X-band,X/Ku,Symmetric blade-flash sidebands absent in birds,Small RCS (~0.01 m2); needs sensitive staring radar,https://www.robinradar.com/iris
dji-matrice-350,DJI Matrice 350 RTK,dji-matrice-350,heavy_multirotor,8 (4x2),+/-1.5-5 kHz symmetric HERM lines,X/Ku,Symmetric micro-Doppler + larger bulk RCS,Larger RCS than Mavic-class; strong micro-Doppler,https://www.robinradar.com/iris
autel-evo-ii,Autel EVO II,autel-evo-ii,small_multirotor,8 (4x2),+/-2-6 kHz symmetric,X/Ku,Symmetric sidebands vs asymmetric bird flap,Mavic-comparable RCS and spread,https://www.robinradar.com/iris
skydio-x10,Skydio X10,skydio-x10,small_multirotor,8 (4x2),+/-2-6 kHz symmetric,X/Ku,Rigid-rotor symmetric HERM lines,US ISR quad; small RCS,https://www.robinradar.com/iris
generic-5in-fpv,Generic 5-inch FPV racer,generic-5in-fpv,fpv_multirotor,6-8,+/-4-9 kHz (high RPM),Ku/W,Wideband symmetric sidebands from very high RPM,Tiny RCS + high speed; hardest multirotor for radar,https://www.robinradar.com/iris
generic-7in-fpv,Generic 7-inch FPV,generic-7in-fpv,fpv_multirotor,6-8,+/-3-8 kHz,Ku/W,High-RPM symmetric micro-Doppler,"Small RCS, fast; use Ku/W-band staring radar",https://www.robinradar.com/iris
orlan-10,Orlan-10,orlan-10,fixed_wing_piston,2,Fuselage Doppler + prop BPF sidebands,X/S,Steady cruise Doppler + prop lines,Small fixed-wing ISR; moderate RCS,https://en.wikipedia.org/wiki/Orlan-10
bayraktar-tb2,Bayraktar TB2,bayraktar-tb2,fixed_wing_piston,2,Strong bulk Doppler + slow prop modulation,S/X,Large steady Doppler; slow prop lines vs bird flap,"MALE UAV, large RCS, easy radar track",https://en.wikipedia.org/wiki/Bayraktar_TB2
lancet-3,ZALA Lancet-3,lancet-3,loitering_electric,4 (X-wing),+/-2-5 kHz from multiple lifting/prop surfaces,X/Ku,Multi-surface symmetric modulation,"Small composite airframe, low RCS in terminal dive",https://en.wikipedia.org/wiki/ZALA_Lancet
switchblade-300,AeroVironment Switchblade 300,switchblade-300,loitering_electric,2,Prop modulation + small fuselage Doppler,Ku/W,Prop lines distinguish from birds,Very small RCS; short terminal engagement window,https://www.avinc.com/lms/switchblade
