id,name,vendor,sensor_mix,model_coverage,detection_role,notes,source_url
dedrone-rf360,Dedrone RF-360,Dedrone (Axon),RF direction-finding (fusion-capable),150+ manufacturers via DroneDNA library,detection_classification,Passive RF sensor node; listed descriptively as market reference not an endorsement,https://www.dedrone.com/
dedrone-rf160,Dedrone RF-160,Dedrone (Axon),RF direction-finding,150+ manufacturers via DroneDNA library,detection_classification,Wide-band passive RF DF sensor; verify current specs with the vendor,https://www.dedrone.com/
droneshield-rfpatrol,DroneShield RfPatrol MkII,DroneShield,RF (body-worn passive receiver),known RF protocol library,detection_only,Passive body-worn detector; detection/alerting only mitigation variants excluded,https://www.droneshield.com/
droneshield-dronesentry,DroneShield DroneSentry (detection node),DroneShield,RF + radar + acoustic + EO/IR fusion,multi-modal library,detection_fusion,Sensor-fusion detection/monitoring node only; defeat variants deliberately excluded from this catalog,https://www.droneshield.com/
robin-radar-iris,Robin Radar IRIS,Robin Radar Systems,360 X-band micro-Doppler radar (+ EO/IR RF cueing),bird-vs-drone classification,detection_classification,Micro-Doppler radar with drone/bird discrimination; representative detection reference,https://www.robinradar.com/iris
echodyne-echoshield,Echodyne EchoShield,Echodyne,4D electronically scanned array radar,small-UAS tracking,detection_tracking,Compact ESA radar for small-UAS volume search and tracking,https://www.echodyne.com/
matrixspace-fusion360,MatrixSpace Fusion 360,MatrixSpace,compact radar + multi-sensor fusion,mobile small-UAS detection,detection_fusion,Lightweight radar/fusion node aimed at mobile detection,https://www.matrixspace.com/
dji-aeroscope,DJI AeroScope,DJI,DJI DroneID / OcuSync receiver,DJI platforms,detection_identification,Passive receiver that decodes DJI DroneID broadcasts; reads identification not authentication,https://www.dji.com/aeroscope
cerbair-hydra,CerbAir Hydra,CerbAir,RF + optical fusion,consumer/commercial UAS,detection_classification,RF detection with optional optical confirmation; descriptive market reference,https://cerbair.com/
squarehead-discovair,Squarehead Discovair,Squarehead Technology,MEMS acoustic array,acoustic UAS detection,detection_only,Passive acoustic array for short-range detection of electrically quiet UAS,https://www.squarehead.no/
